Process_ID,Arrival_Time,Burst_Time
1,1.17,25
2,1.59,9
3,1.74,9
4,4.82,16
5,4.87,34
6,5.38,36
7,6.29,10
8,7.15,15
9,9.52,5
10,10.66,4
11,12.18,4
12,13.99,11
13,16.23,8
14,16.7,4
15,16.87,34
16,17.13,15
17,20.01,3
18,21.72,6
19,21.81,43
20,24.53,10
21,25.46,261
22,25.97,101
23,34.7,8
24,41.07,14
25,41.3,26
26,42.09,2
27,46.5,2
28,48.46,3
29,48.84,70
30,52.1,84
31,55.79,43
32,56.1,33
33,61.07,2
34,61.23,95
35,62.16,18
36,64.7,3
37,70.16,26
38,73.28,47
39,76.86,121
40,78.56,9
41,80.41,38
42,80.7,7
43,80.78,2
44,82.56,17
45,88.51,4
46,92.03,2
47,92.68,6
48,93.12,5
49,99.76,66
50,104.89,18
51,108.96,22
52,114.62,8
53,115.58,6
54,116.97,39
55,121.23,10
56,121.86,60
57,122.18,10
58,123.16,44
59,124.99,3
60,133.91,22
61,142.12,48
62,143.01,18
63,143.85,8
64,145.6,38
65,145.73,65
66,146.41,42
67,146.8,9
68,147.49,7
69,150.28,3
70,153.54,13
71,154.69,22
72,156.61,113
73,156.85,36
74,157.37,15
75,157.47,137
76,157.51,14
77,159.3,72
78,159.78,2
79,162.72,12
80,163.09,6
81,164.13,5
82,166.83,11
83,171.08,22
84,171.77,226
85,172.01,2
86,173.08,19
87,176.32,71
88,176.54,19
89,176.98,8
90,177.0,14
91,177.27,8
92,180.21,23
93,182.85,76
94,183.53,3
95,184.51,13
96,189.24,20
97,191.92,29
98,193.07,8
99,193.84,83
100,196.33,42
101,200.29,65
102,201.99,52
103,202.53,27
104,202.59,16
105,205.18,6
106,213.68,77
107,221.96,5
108,223.18,13
109,227.94,3
110,229.97,36
111,236.85,72
112,237.11,30
113,239.5,17
114,242.88,7
115,245.87,27
116,246.74,113
117,250.88,9
118,256.99,57
119,258.78,117
120,261.4,7
121,264.43,56
122,265.46,8
123,266.64,54
124,266.73,3
125,268.3,1
126,270.53,9
127,270.61,3
128,272.46,40
129,276.13,68
130,276.35,23
131,276.48,49
132,279.02,32
133,282.26,49
134,283.24,64
135,287.2,5
136,287.4,1
137,287.46,3
138,287.94,133
139,288.37,59
140,291.5,2
141,294.2,9
142,296.57,27
143,297.93,4
144,301.48,22
145,301.52,6
146,301.78,33
147,303.47,2
148,304.89,46
149,306.16,25
150,306.28,21
151,307.45,51
152,312.3,202
153,314.99,6
154,317.19,7
155,324.23,1
156,326.81,20
157,328.34,12
158,329.56,7
159,337.68,5
160,338.64,8
161,343.3,4
162,346.28,39
163,348.76,9
164,352.83,70
165,353.66,68
166,357.77,4
167,369.41,1
168,373.15,23
169,374.19,25
170,377.7,5
171,377.97,49
172,382.35,15
173,383.31,6
174,383.34,82
175,389.23,41
176,396.72,4
177,404.24,34
178,405.73,17
179,406.6,19
180,410.09,2
181,414.01,32
182,416.0,49
183,417.46,41
184,417.77,14
185,418.16,12
186,418.43,21
187,418.65,38
188,422.96,8
189,426.02,18
190,433.38,5
191,444.05,4
192,444.27,21
193,448.02,1
194,453.94,126
195,454.23,5
