Process,Burst time,Arrival Time,,Arrival Time(normalized)
P1,181,37,,0.37
P2,233,52.5,,0.525
P3,127,37.25,,0.3725
P4,191,85.5,,0.855
P5,139,74.75,,0.7475
P6,256,63.25,,0.6325
P7,302,19.25,,0.1925
P8,190,49,,0.49
P9,211,24.75,,0.2475
P10,209,69.5,,0.695
P11,221,36.5,,0.365
P12,265,21.75,,0.2175
P13,205,75.25,,0.7525
P14,148,40,,0.4
P15,170,65,,0.65
P16,161,50.5,,0.505
P17,248,33,,0.33
P18,178,68.75,,0.6875
P19,211,59.75,,0.5975
P20,282,50.75,,0.5075
P21,233,25.75,,0.2575
P22,223,53.25,,0.5325
P23,167,51.75,,0.5175
P24,300,47.25,,0.4725
P25,179,59,,0.59
P26,233,81.75,,0.8175
P27,135,86.5,,0.865
P28,235,32,,0.32
P29,310,57,,0.57
P30,85,38,,0.38
P31,265,63.25,,0.6325
P32,254,69,,0.69
P33,182,75,,0.75
P34,223,27,,0.27
P35,160,59.25,,0.5925
P36,262,48.25,,0.4825
P37,241,65.75,,0.6575
P38,256,49.5,,0.495
P39,257,14,,0.14
P40,193,32.75,,0.3275
P41,201,19.25,,0.1925
P42,206,52.5,,0.525
P43,189,47.25,,0.4725
P44,227,50.5,,0.505
P45,207,64,,0.64
P46,193,53.5,,0.535
P47,256,42.75,,0.4275
P48,182,57.75,,0.5775
P49,196,27.75,,0.2775
P50,207,49.75,,0.4975
P51,167,74.25,,0.7425
P52,248,76.5,,0.765
P53,241,54.75,,0.5475
P54,181,40.75,,0.4075
P55,177,49,,0.49
P56,302,75.25,,0.7525
P57,201,78.25,,0.7825
P58,221,62.5,,0.625
P59,201,19.5,,0.195
P60,177,59,,0.59
P61,150,48.25,,0.4825
P62,132,71,,0.71
P63,223,63.25,,0.6325
P64,215,52,,0.52
P65,216,40,,0.4
P66,142,44.5,,0.445
P67,229,45.75,,0.4575
P68,157,67.5,,0.675
P69,221,78,,0.78
P70,278,52.75,,0.5275
P71,190,26.75,,0.2675
P72,174,33,,0.33
P73,261,41.5,,0.415
P74,146,75.5,,0.755
P75,230,56,,0.56
P76,184,45.5,,0.455
P77,170,75,,0.75
P78,221,20,,0.2
P79,201,63.25,,0.6325
P80,148,60.75,,0.6075
P81,119,50,,0.5
P82,207,61.5,,0.615
P83,189,42,,0.42
P84,268,62,,0.62
P85,252,79,,0.79
P86,114,27,,0.27
P87,201,74,,0.74
P88,260,49,,0.49
P89,180,58.75,,0.5875
P90,235,38.75,,0.3875
P91,189,43.75,,0.4375
P92,161,34.5,,0.345
P93,288,60.25,,0.6025
P94,193,29.25,,0.2925
P95,204,29.5,,0.295
P96,229,49.25,,0.4925
P97,104,24.25,,0.2425
P98,303,32.75,,0.3275
P99,190,24.25,,0.2425
P100,274,37.75,,0.3775
P101,127,44,,0.44
P102,195,74.25,,0.7425
P103,202,58.5,,0.585
P104,206,79.5,,0.795
P105,236,38.25,,0.3825
P106,245,47.25,,0.4725
P107,179,59.5,,0.595
P108,260,66.75,,0.6675
P109,205,67,,0.67
P110,177,58.25,,0.5825
P111,289,31.75,,0.3175
P112,231,45,,0.45
P113,222,81.25,,0.8125
P114,267,50.5,,0.505
P115,202,47,,0.47
P116,168,44.75,,0.4475
P117,195,41,,0.41
P118,237,79,,0.79
P119,223,26.75,,0.2675
P120,210,36.25,,0.3625
P121,306,47.25,,0.4725
P122,230,60,,0.6
P123,156,37.25,,0.3725
P124,177,36,,0.36
P125,277,24,,0.24
P126,250,41.75,,0.4175
P127,268,33,,0.33
P128,253,72.5,,0.725
P129,209,78.25,,0.7825
P130,219,27.25,,0.2725
P131,144,45.5,,0.455
P132,241,51,,0.51
P133,230,36.25,,0.3625
P134,247,32.25,,0.3225
P135,224,61,,0.61
P136,163,62.25,,0.6225
P137,249,62.5,,0.625
P138,197,48.25,,0.4825
P139,211,82.25,,0.8225
P140,238,27.25,,0.2725
P141,239,71,,0.71
P142,217,45.5,,0.455
P143,236,62.25,,0.6225
P144,192,45.75,,0.4575
P145,186,59.75,,0.5975
P146,195,55.75,,0.5575
